Commodity,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,zero_count
Brinjal Long,27.954545454545453,32.12,27.452380952380953,28.16,36.04347826086956,49.166666666666664,24.6875,24.770833333333332,34.84782608695652,40.88636363636363,24.195652173913043,22.543478260869566,19.88,17.983870967741936,17.4,23.785714285714285,26.975,28.56896551724138,31.783333333333335,38.285714285714285,38.6,32.22222222222222,25.875,20.683333333333334,23.5,35.016129032258064,24.983870967741936,24.166666666666668,37.53225806451613,31.6,40.45161290322581,38.41935483870968,42.892857142857146,39.91379310344828,38.983333333333334,41.45161290322581,25.083333333333332,35.83870967741935,37.24193548387097,37.7,45.17741935483871,37.666666666666664,34.04838709677419,35.693548387096776,32.77777777777778,30.655172413793103,26.233333333333334,30.116666666666667,27.666666666666668,29.70967741935484,32.5,40.94827586206897,52.66129032258065,53.333333333333336,34.854166666666664,42.333333333333336,50.410714285714285,53.5,39.583333333333336,39.45161290322581,40.0,38.79032258064516,46.903225806451616,43.0,32.66129032258065,24.583333333333332,33.95161290322581,37.46774193548387,30.285714285714285,34.833333333333336,37.5,48.225806451612904,43.333333333333336,61.935483870967744,42.5,55.689655172413794,70.66666666666667,45.5,43.74193548387097,58.87096774193548,53.148148148148145,59.51923076923077,27.5625,36.45161290322581,25.833333333333332,54.25,55.45161290322581,52.06896551724138,69.21666666666667,39.3,41.37096774193548,40.725806451612904,52.142857142857146,49.5,32.166666666666664,25.192307692307693,0
Brinjal Round,30.11111111111111,40.22727272727273,35.214285714285715,35.32608695652174,42.03125,47.36666666666667,36.708333333333336,31.736842105263158,42.5,42.5,32.25,32.43478260869565,30.145833333333332,29.12,26.043478260869566,31.68,34.13636363636363,34.77272727272727,34.75,37.583333333333336,40.3,43.25,37.3,29.84,29.733333333333334,41.02173913043478,29.96551724137931,25.446428571428573,32.416666666666664,33.07692307692308,39.37096774193548,38.016129032258064,33.06896551724138,36.77777777777778,45.4,43.36206896551724,24.942307692307693,34.88095238095238,34.95,29.0,41.94444444444444,37.89655172413793,32.70967741935484,35.24193548387097,32.5,30.732142857142858,26.166666666666668,30.75,28.166666666666668,29.758064516129032,32.5,39.166666666666664,51.0,51.34615384615385,34.854166666666664,42.333333333333336,50.357142857142854,53.083333333333336,39.583333333333336,40.32608695652174,40.9375,0.0,0.0,0.0,33.5,27.166666666666668,34.37096774193548,37.54838709677419,30.642857142857142,35.333333333333336,40.333333333333336,50.483870967741936,44.083333333333336,46.5,0.0,44.166666666666664,67.3913043478261,45.916666666666664,44.11290322580645,59.25,52.17391304347826,49.31818181818182,29.07894736842105,0.0,30.11904761904762,0.0,0.0,47.5,58.18181818181818,48.020833333333336,44.11290322580645,41.45161290322581,52.857142857142854,49.333333333333336,32.327586206896555,28.75,7
Brocauli,75.0,0.0,116.25,139.8,120.43478260869566,69.0625,36.26086956521739,40.208333333333336,35.21739130434783,45.0,48.369565217391305,78.29545454545455,125.43478260869566,183.68421052631578,151.89655172413794,151.57407407407408,148.6904761904762,65.58333333333333,48.5,37.410714285714285,37.0,40.72222222222222,39.714285714285715,37.9,69.5,0.0,0.0,0.0,93.75,64.27586206896552,49.193548387096776,37.166666666666664,37.724137931034484,51.293103448275865,53.25,65.0,55.833333333333336,61.3235294117647,0.0,0.0,0.0,95.0,45.225806451612904,33.145161290322584,27.423076923076923,50.43103448275862,49.827586206896555,77.31481481481481,98.82352941176471,0.0,0.0,0.0,0.0,86.35416666666667,50.416666666666664,50.0,43.57142857142857,48.916666666666664,61.333333333333336,63.69047619047619,0.0,105.0,105.0,0.0,0.0,58.68421052631579,50.0,40.16129032258065,43.125,45.833333333333336,47.25,91.45161290322581,105.55555555555556,0.0,0.0,85.0,171.42857142857142,107.15517241379311,81.37096774193549,55.96774193548387,41.89655172413793,44.56896551724138,33.80434782608695,41.53225806451613,47.5,0.0,0.0,0.0,109.5,106.20689655172414,85.16129032258064,35.403225806451616,55.092592592592595,68.5,89.0,64.23076923076923,19
Cabbage(Local),11.136363636363637,16.2,35.714285714285715,42.36,32.15384615384615,42.30434782608695,28.708333333333332,20.020833333333332,19.76086956521739,20.931818181818183,19.565217391304348,21.08695652173913,28.46,31.822580645161292,17.2,14.267857142857142,21.142857142857142,20.183333333333334,15.1,14.410714285714286,12.0,12.61111111111111,11.071428571428571,7.35,15.016666666666667,32.806451612903224,35.04838709677419,39.56666666666667,44.24193548387097,25.533333333333335,20.677419354838708,21.548387096774192,17.93103448275862,17.603448275862068,22.883333333333333,29.467741935483872,32.61666666666667,35.79032258064516,28.483870967741936,23.316666666666666,31.016129032258064,43.083333333333336,24.838709677419356,19.403225806451612,14.148148148148149,13.655172413793103,11.6,14.65,17.116666666666667,15.338709677419354,20.919354838709676,40.827586206896555,47.435483870967744,63.75,32.770833333333336,30.033333333333335,29.875,26.216666666666665,26.783333333333335,25.14516129032258,41.85,41.693548387096776,45.82258064516129,50.46666666666667,34.67741935483871,22.0,12.14516129032258,10.790322580645162,10.125,11.6,11.433333333333334,15.661290322580646,28.766666666666666,29.161290322580644,34.91935483870968,44.5,48.62903225806452,69.91666666666667,42.58064516129032,40.0,29.379310344827587,22.20689655172414,19.166666666666668,8.82258064516129,11.03448275862069,22.416666666666668,36.53225806451613,60.0,58.46774193548387,53.916666666666664,31.596774193548388,23.306451612903224,16.910714285714285,12.816666666666666,29.366666666666667,26.73076923076923,0
Capsicum,70.9090909090909,77.9,57.857142857142854,84.6,147.0,91.77083333333333,51.875,45.708333333333336,50.97727272727273,68.97727272727273,71.52173913043478,61.19565217391305,49.9,61.37096774193548,46.266666666666666,105.08928571428571,145.5681818181818,72.66666666666667,72.16666666666667,53.392857142857146,46.041666666666664,76.1923076923077,81.41071428571429,50.44827586206897,42.63333333333333,83.46774193548387,62.04838709677419,68.75,103.38709677419355,66.75,54.91935483870968,51.774193548387096,40.43103448275862,78.44827586206897,93.25,75.0,72.5,105.40322580645162,109.83870967741936,89.75,86.29032258064517,64.33333333333333,44.193548387096776,38.11290322580645,34.592592592592595,69.91379310344827,70.75,61.63333333333333,55.583333333333336,60.725806451612904,61.854838709677416,90.89655172413794,130.83333333333334,87.33333333333333,74.16666666666667,70.0,64.64285714285714,75.15,65.5,45.24193548387097,57.46551724137931,82.32758620689656,83.79032258064517,77.5,78.16666666666667,56.89655172413793,51.693548387096776,70.48387096774194,58.57142857142857,75.08333333333333,104.5,80.62903225806451,78.91666666666667,69.5,82.25806451612904,88.53448275862068,150.27777777777777,84.58333333333333,57.66129032258065,61.20967741935484,60.43103448275862,97.71739130434783,75.25,42.33870967741935,34.5,117.66666666666667,103.38709677419355,89.91666666666667,176.60714285714286,103.96551724137932,83.87096774193549,69.59677419354838,69.64285714285714,94.0,110.83333333333333,72.5,0
Carrot(Local),39.59090909090909,46.46,50.95238095238095,63.5,86.8,86.5625,37.208333333333336,25.416666666666668,27.727272727272727,27.681818181818183,35.02173913043478,38.58695652173913,50.62,79.19354838709677,75.41666666666667,74.61538461538461,80.47619047619048,70.34482758620689,45.083333333333336,43.285714285714285,25.6,23.12962962962963,31.696428571428573,23.433333333333334,34.63333333333333,59.983870967741936,63.62903225806452,75.91666666666667,92.1774193548387,68.66666666666667,45.83870967741935,37.2,26.46551724137931,26.413793103448278,48.55,54.16129032258065,75.5,109.2741935483871,101.20967741935483,124.66666666666667,135.41666666666666,97.65,63.96774193548387,46.45161290322581,27.40740740740741,27.448275862068964,39.63333333333333,49.666666666666664,62.88333333333333,75.88709677419355,65.08064516129032,68.87931034482759,78.53225806451613,96.0,70.83333333333333,45.55,32.17857142857143,28.533333333333335,38.483333333333334,52.66129032258065,80.91666666666667,105.3225806451613,108.79310344827586,139.56666666666666,105.7258064516129,116.08333333333333,73.2258064516129,45.04838709677419,22.071428571428573,21.5,24.883333333333333,39.33870967741935,70.83333333333333,96.85483870967742,97.38709677419355,97.5,118.62068965517241,122.58333333333333,89.91935483870968,52.38709677419355,32.8448275862069,33.5,30.479166666666668,25.080645161290324,35.94827586206897,55.666666666666664,56.05,49.75,111.91666666666667,75.16666666666667,82.98387096774194,85.96774193548387,52.68518518518518,52.75,71.41666666666667,52.88461538461539,0
Cauli Local,26.545454545454547,51.0,56.95238095238095,44.44,48.370370370370374,58.833333333333336,40.875,22.083333333333332,29.47826086956522,23.568181818181817,30.818181818181817,43.5,41.26,43.54838709677419,43.3,57.19642857142857,47.31818181818182,26.4,36.666666666666664,25.25,19.12,16.055555555555557,26.142857142857142,20.25,47.28333333333333,53.88709677419355,46.806451612903224,49.583333333333336,42.596774193548384,26.216666666666665,35.53225806451613,28.032258064516128,27.32758620689655,36.3448275862069,57.083333333333336,62.41935483870968,43.15,58.87096774193548,55.12903225806452,77.75,68.87096774193549,72.83333333333333,33.75806451612903,27.919354838709676,18.72222222222222,21.482758620689655,28.55,45.166666666666664,62.38333333333333,58.46774193548387,67.58064516129032,74.27586206896552,71.85483870967742,64.88333333333334,29.291666666666668,35.8,40.05357142857143,39.06666666666667,50.833333333333336,35.016129032258064,70.55,50.564516129032256,79.19354838709677,98.66666666666667,57.66129032258065,23.833333333333332,33.38709677419355,28.483870967741936,17.0,20.116666666666667,33.88333333333333,61.935483870967744,79.41666666666667,74.59677419354838,82.2258064516129,86.08333333333333,95.16129032258064,90.33333333333333,86.20967741935483,47.82258064516129,23.93103448275862,29.79310344827586,22.5625,18.266666666666666,28.166666666666668,86.37931034482759,111.69354838709677,104.91666666666667,95.08064516129032,70.75,33.064516129032256,24.080645161290324,32.142857142857146,41.0,58.333333333333336,32.88461538461539,0
Celery,125.0,125.0,125.5,125.8,125.83333333333333,112.5,125.0,123.64583333333333,125.0,66.93181818181819,97.28260869565217,112.3913043478261,103.33333333333333,99.83870967741936,111.0,110.71428571428571,111.0,139.6153846153846,145.0,139.82142857142858,115.4,95.96153846153847,73.48214285714286,79.82758620689656,75.34482758620689,76.20967741935483,143.1451612903226,105.0,107.74193548387096,104.3103448275862,105.0,96.29032258064517,95.0,94.65517241379311,96.66666666666667,105.0,96.66666666666667,95.0,102.09677419354838,95.0,95.0,95.0,93.30645161290323,95.3225806451613,95.0,95.34482758620689,95.0,95.0,96.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,104.64285714285714,93.58333333333333,145.0,145.0,117.0,106.93548387096774,161.0,175.0,174.19354838709677,145.66666666666666,164.3548387096774,162.41935483870967,140.08928571428572,115.16666666666667,109.83333333333333,149.19354838709677,155.0,159.3548387096774,157.25806451612902,176.72413793103448,241.29032258064515,245.66666666666666,261.4516129032258,334.03225806451616,424.13793103448273,425.90909090909093,0.0,0.0,0.0,0.0,0.0,0.0,190.0,193.4,206.4516129032258,235.0,210.0,109.0,110.17241379310344,85.0,6
Chilli Dry,175.0,175.0,175.0,172.6,163.14814814814815,187.70833333333334,222.08333333333334,235.0,233.04347826086956,214.77272727272728,191.95652173913044,190.65217391304347,179.9,195.40322580645162,218.10344827586206,205.53571428571428,184.20454545454547,209.83333333333334,210.83333333333334,191.51785714285714,192.0,196.44230769230768,190.08928571428572,195.0,208.5,205.32258064516128,205.32258064516128,223.16666666666666,258.2258064516129,275.0,275.0,275.0,275.0,275.0,275.0,274.9193548387097,275.0,275.0,274.83870967741933,275.0,275.0,275.0,275.0,275.48387096774195,275.0,275.0,266.6666666666667,266.8333333333333,261.6666666666667,205.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,196.33333333333334,195.0,195.0,195.0,195.0,221.1290322580645,241.0,215.0,215.0,214.67741935483872,215.48387096774192,215.0,215.5,215.0,230.48387096774192,245.0,245.0,260.0,312.25,345.0,345.0,371.61290322580646,395.0,395.0,346.7241379310345,361.6666666666667,382.0967741935484,324.0,295.0,295.0,292.0,341.4516129032258,356.6666666666667,342.5806451612903,322.4193548387097,325.0,310.6666666666667,312.0,328.0769230769231,0
Chilli Green,37.72727272727273,36.06,52.875,74.1,72.68518518518519,48.270833333333336,43.875,46.416666666666664,53.73913043478261,72.8409090909091,50.76086956521739,56.08695652173913,44.02,48.95161290322581,57.15,73.48214285714286,76.5909090909091,49.0,39.71666666666667,44.55357142857143,44.22,61.86538461538461,57.94642857142857,41.8,39.81666666666667,59.03225806451613,41.4,40.416666666666664,47.45161290322581,42.31666666666667,38.54838709677419,53.70967741935484,51.3448275862069,70.74137931034483,66.26666666666667,112.66129032258064,45.63333333333333,92.70967741935483,89.35483870967742,82.91666666666667,66.61290322580645,50.416666666666664,43.67741935483871,47.17741935483871,49.25925925925926,60.96551724137931,45.583333333333336,53.38333333333333,48.71666666666667,44.596774193548384,50.88709677419355,62.58620689655172,90.3225806451613,57.833333333333336,69.0625,66.5,84.28571428571429,79.83333333333333,57.333333333333336,51.693548387096776,55.88333333333333,85.48387096774194,63.95161290322581,71.83333333333333,78.5,50.083333333333336,44.83870967741935,49.564516129032256,51.69642857142857,70.5,87.25,96.46774193548387,87.66666666666667,61.916666666666664,64.19354838709677,89.83333333333333,100.74074074074075,61.0,54.91935483870968,54.516129032258064,63.482142857142854,98.46153846153847,65.9375,46.935483870967744,43.666666666666664,49.56896551724138,78.16666666666667,109.5,162.33870967741936,90.34482758620689,75.48387096774194,79.83870967741936,84.72222222222223,86.72413793103448,73.66666666666667,58.84615384615385,0
